Designator,Mid X,Mid Y,Rotation,Layer
D157,215.08,-57.175,90.0,top
D158,203.0,-57.175,90.0,top
D159,190.92,-57.175,90.0,top
D16,79.9,-66.5,90.0,top
D160,178.84,-57.175,90.0,top
D161,166.76,-57.175,90.0,top
D162,111.0,-135.0,180.0,top
D17,159.9,-114.5,90.0,top
D18,159.9,-106.5,90.0,top
D19,159.9,-98.5,90.0,top
D2,85.4,-142.8,0.0,top
D20,159.9,-90.5,90.0,top
D21,159.9,-82.5,90.0,top
D22,159.9,-74.5,90.0,top
D23,159.9,-66.5,90.0,top
D24,87.9,-66.5,270.0,top
D25,87.9,-74.5,270.0,top
D26,87.85,-82.5,270.0,top
D27,87.85,-90.5,270.0,top
D28,87.85,-98.5,270.0,top
D29,87.85,-106.5,270.0,top
D3,71.9,-66.5,270.0,top
D30,87.85,-114.5,270.0,top
D31,167.9,-66.5,270.0,top
D32,167.9,-74.5,270.0,top
D33,167.9,-82.5,270.0,top
D34,167.9,-90.5,270.0,top
D35,167.9,-98.5,270.0,top
D36,167.9,-106.5,270.0,top
D37,167.9,-114.5,270.0,top
D38,95.9,-114.5,90.0,top
D39,95.85,-106.5,90.0,top
D4,71.9,-74.5,270.0,top
D40,95.85,-98.5,90.0,top
D41,95.85,-90.5,90.0,top
D42,95.9,-82.5,90.0,top
D43,95.9,-74.5,90.0,top
D44,95.9,-66.5,90.0,top
D45,175.9,-114.5,90.0,top
D46,175.9,-106.5,90.0,top
D47,175.9,-98.5,90.0,top
D48,175.9,-90.5,90.0,top
D49,175.9,-82.5,90.0,top
D5,71.9,-82.5,270.0,top
D50,175.9,-74.5,90.0,top
D51,175.9,-66.5,90.0,top
D52,103.85,-66.5,270.0,top
D53,103.85,-74.5,270.0,top
D54,103.85,-82.5,270.0,top
D55,103.85,-90.5,270.0,top
D56,103.85,-98.5,270.0,top
D57,103.9,-106.5,270.0,top
D58,103.9,-114.5,270.0,top
D59,183.9,-66.5,270.0,top
D6,71.9,-90.5,270.0,top
D60,183.9,-74.5,270.0,top
D61,183.9,-82.5,270.0,top
D62,183.9,-90.5,270.0,top
D63,183.9,-98.5,270.0,top
D64,183.9,-106.5,270.0,top
D65,183.9,-114.5,270.0,top
D66,111.85,-114.5,90.0,top
D67,111.85,-106.5,90.0,top
D68,111.85,-98.5,90.0,top
D69,111.85,-90.5,90.0,top
D7,71.9,-98.5,270.0,top
D70,111.85,-82.55,90.0,top
D71,111.85,-74.5,90.0,top
D72,111.85,-66.5,90.0,top
D73,191.9,-114.5,90.0,top
D74,191.9,-106.5,90.0,top
D75,191.9,-98.5,90.0,top
D76,191.9,-90.5,90.0,top
D77,191.9,-82.5,90.0,top
D78,191.95,-74.5,90.0,top
D79,191.9,-66.5,90.0,top
D8,71.9,-106.5,270.0,top
D80,119.85,-66.5,270.0,top
D81,119.8,-74.5,270.0,top
D82,119.85,-82.5,270.0,top
D83,119.85,-90.5,270.0,top
D84,119.85,-98.5,270.0,top
D85,119.85,-106.5,270.0,top
D86,119.85,-114.5,270.0,top
D87,199.9,-66.5,270.0,top
D88,199.9,-74.5,270.0,top
D89,199.9,-82.5,270.0,top
D9,71.9,-114.5,270.0,top
D90,199.9,-90.5,270.0,top
D91,199.9,-98.5,270.0,top
D92,199.9,-106.5,270.0,top
D93,199.9,-114.5,270.0,top
D94,127.9,-114.5,90.0,top
D95,127.9,-106.5,90.0,top
D96,127.9,-98.5,90.0,top
D97,127.85,-90.5,90.0,top
D98,127.85,-82.5,90.0,top
D99,127.85,-74.5,90.0,top
F1,88.0,-136.0,180.0,top
FB1,94.5,-136.2,180.0,top
FID1,69.5,-141.9,0.0,top
FID2,228.1,-141.6,0.0,top
FID3,228.1,-53.3,0.0,top
FID4,69.3,-53.0,0.0,top
FL1,115.1,-133.0,45.0,top
MK1,166.910694,-124.233352,135.0,top
Q1,89.2625,-121.95,0.0,top
Q2,82.087499,-121.9,0.0,top
Q3,93.45,-142.7,90.0,top
Q4,88.5,-139.0,0.0,top
Q5,79.2625,-142.650001,0.0,top
Q6,156.125,-125.225001,0.0,top
R1,90.575,-129.3,270.0,top
R10,194.175,-133.000001,0.0,top
R11,143.0,-126.075,90.0,top
R12,141.4,-126.1,90.0,top
R13,93.7,-138.3,0.0,top
R14,110.7,-130.2,0.0,top
R15,110.7,-128.61,0.0,top
R16,167.413897,-131.306826,45.0,top
R17,91.3,-137.6,270.0,top
R18,159.753984,-138.496878,45.0,top
R19,159.024999,-123.475,90.0,top
R2,92.024999,-121.75,270.0,top
R20,78.8,-136.3,0.0,top
R21,119.35,-133.25,0.0,top
R22,119.325,-136.3,0.0,top
R23,144.8,-122.3,90.0,top
R24,113.6,-126.05,180.0,top
R25,119.34,-130.19,0.0,top
R26,119.34,-131.7,0.0,top
R27,212.068641,-140.222576,180.0,top
R28,213.968641,-132.622576,270.0,top
R29,144.8,-134.1,90.0,top
R3,84.872748,-121.677,270.0,top
R30,83.5,-132.2,180.0,top
R31,83.5,-133.8,180.0,top
R32,95.3,-140.0,180.0,top
R33,96.0,-142.4,90.0,top
R34,159.825,-125.875,180.0,top
R35,153.2825,-124.947499,90.0,top
R36,151.6625,-124.925001,90.0,top
R37,156.625,-122.725,0.0,top
R38,150.062501,-124.925,270.0,top
R39,148.524999,-124.9,90.0,top
R4,88.65,-129.25,90.0,top
R40,143.6,-130.65,270.0,top
R41,162.225,-125.175,90.0,top
R42,163.825002,-125.175,90.0,top
R43,160.624999,-123.475,270.0,top
R5,84.0,-126.1,0.0,top
R6,80.9,-126.1,180.0,top
R7,86.4625,-121.7,90.0,top
R8,79.3,-121.7,90.0,top
R9,192.55,-129.9,180.0,top
SW1,171.55,-132.35,45.0,top
SW4,163.837526,-139.575216,45.0,top
TP1,211.231141,-129.722577,270.0,top
U1,83.5,-128.7,180.0,top
U2,102.342,-131.240859,180.0,top
U3,79.2625,-139.050001,180.0,top
U4,130.7,-131.8,180.0,top
U5,212.668641,-136.022576,0.0,top
U6,100.7,-123.8,0.0,top
